Scenario,Model,Method,Axis,TermCount,MedianRmsNm,P95RmsNm,MeanPlus3SigmaNm,MedianApparentRmsNm
clean,Nikon,Huber,Y,15,0.264608226847206,0.432680413124217,0.874064925222106,0.237187421807536
clean,Nikon,L2,Y,15,0.15733840023472,0.237154868117666,0.503483927481148,0.260623441777093
clean,Nikon,L1,Y,15,0.160519084268446,0.249362385854791,0.51231912606633,0.290645567081668
clean,Nikon,Huber+L2,Y,15,0.160296197309753,0.247464243324096,0.515197114937083,0.266116837378271
clean,Nikon,Huber+L1,Y,15,0.173767866501446,0.268777142178894,0.551977764313328,0.303429533615002
clean,Nikon-VIF,OLS,X,8,0.162495846867045,0.278949390596673,0.542048872173688,0.27780519185887
clean,Nikon-VIF,Huber,X,8,0.1657297758364,0.281697174016205,0.551822817923937,0.280296588727423
clean,Nikon-VIF,L2,X,8,0.159741523543621,0.275415431854675,0.531942850770303,0.283549770825896
clean,Nikon-VIF,L1,X,8,0.167492506361928,0.286439837307577,0.557337566770912,0.30382385738382
clean,Nikon-VIF,Huber+L2,X,8,0.163923677841051,0.281386538839814,0.544304412351344,0.288211278635919
clean,Nikon-VIF,Huber+L1,X,8,0.177565633055022,0.300586447749457,0.589392765339972,0.31483648406595
clean,Nikon-VIF,OLS,Y,10,0.165079642102649,0.243326686104683,0.522895373486821,0.259568734981117
clean,Nikon-VIF,Huber,Y,10,0.169551026137347,0.251324988755912,0.535725072274067,0.262243065898894
clean,Nikon-VIF,L2,Y,10,0.153748707489074,0.240234394882119,0.49675849246492,0.269651549610171
clean,Nikon-VIF,L1,Y,10,0.165034753775425,0.259468057159409,0.529568579604612,0.298807353689148
clean,Nikon-VIF,Huber+L2,Y,10,0.159680056878774,0.24991391652254,0.511777010156237,0.275308726660255
clean,Nikon-VIF,Huber+L1,Y,10,0.177935956262288,0.280092856453077,0.568632098641033,0.311900172980402
